Target,gRNA,Hamming distance
0,1,0
3,4,0
3,5,0
4,5,0
6,7,0
8,9,0
11,12,0
14,15,0
16,17,0
16,19,0
17,19,0
20,21,0
23,24,0
24,25,0
25,26,2
26,27,0
26,28,0
27,28,0
29,30,0
29,31,0
29,33,4
29,34,5
30,31,0
30,33,0
30,34,0
30,40,4
31,33,0
31,34,0
31,40,3
32,33,0
32,34,0
32,40,2
33,34,0
33,40,0
34,40,0
35,36,0
35,37,0
35,38,0
35,39,0
36,37,0
36,38,0
36,39,0
37,38,0
37,39,0
38,39,0
38,41,0
39,41,0
42,43,0
42,44,0
43,44,0
44,45,0
44,46,0
45,46,0
47,48,0
49,50,0
51,52,0
51,53,0
51,54,0
52,53,0
52,54,0
53,54,0
54,55,5
57,58,0
57,59,5
58,59,5
58,60,2
60,61,5
65,66,0
69,70,0
77,78,0
77,79,0
78,79,0
83,84,0
83,85,0
83,86,0
84,85,0
84,86,0
85,86,0
89,90,5
90,91,0
90,92,1
91,92,0
93,94,0
98,99,0
99,101,3
102,103,0
104,106,0
104,107,0
104,108,0
106,107,0
106,108,0
107,108,0
109,110,0
110,111,0
114,115,0
117,118,0
119,120,0
119,121,0
120,121,0
125,126,0
